,X,subject,trialN,subj_idx,response,rt,task,relativeValue,totalValue,memSlideScore,memChoiceScore,Left_sum,Right_sum,absRelativeValue,accuracy,arr_L,arr_R,N_L,N_R,L-R,|L-R|,trial_total,order,nValDiff,task2,value_type
1399,2772,d01qmofrd,15,13,0,0.6264,experiment_FR,-3,65,5.8,0.4,31,34,3,1,"[6, 8, 8, 2, 5, 2]","[6, 7, 6, 2, 7, 6]",4,3,1,1,12,FR_VB,1,Accuracy-Based Reward,High-Value
1400,2773,d01qmofrd,16,13,0,0.4557,experiment_FR,-11,59,5.8,0.4,24,35,11,1,"[3, 4, 7, 3, 2, 5]","[3, 8, 8, 3, 5, 8]",5,3,2,2,13,FR_VB,2,Accuracy-Based Reward,Middle-Value
1401,2774,d01qmofrd,17,13,1,0.6343,experiment_FR,11,53,5.8,0.4,32,21,11,1,"[7, 3, 2, 6, 6, 8]","[2, 4, 1, 5, 1, 8]",5,5,0,0,14,FR_VB,0,Accuracy-Based Reward,Middle-Value
1402,2775,d01qmofrd,18,13,0,0.8487,experiment_FR,-3,27,5.8,0.4,12,15,3,1,"[2, 1, 4, 1, 2, 2]","[1, 2, 2, 2, 2, 6]",3,3,0,0,15,FR_VB,0,Accuracy-Based Reward,Low-Value
1403,2776,d01qmofrd,19,13,0,0.617,experiment_FR,-18,38,5.8,0.4,10,28,18,1,"[1, 3, 1, 1, 1, 3]","[6, 1, 8, 1, 5, 7]",2,5,-3,3,16,FR_VB,3,Accuracy-Based Reward,Low-Value
1404,2777,d01qmofrd,20,13,0,0.5245,experiment_FR,0,48,5.8,0.4,24,24,0,1,"[4, 3, 2, 3, 8, 4]","[4, 8, 3, 2, 6, 1]",4,6,-2,2,17,FR_VB,2,Accuracy-Based Reward,Low-Value
1405,2778,d01qmofrd,21,13,0,0.4751,experiment_FR,0,52,5.8,0.4,26,26,0,0,"[5, 2, 2, 4, 8, 5]","[1, 6, 4, 8, 5, 2]",4,6,-2,2,18,FR_VB,2,Accuracy-Based Reward,Middle-Value
1406,2779,d01qmofrd,22,13,1,0.6517,experiment_FR,6,54,5.8,0.4,30,24,6,1,"[4, 4, 6, 8, 4, 4]","[3, 1, 7, 2, 5, 6]",3,6,-3,3,19,FR_VB,3,Accuracy-Based Reward,Middle-Value
1407,2780,d01qmofrd,23,13,0,0.4761,experiment_FR,-10,54,5.8,0.4,22,32,10,1,"[2, 7, 1, 3, 3, 6]","[3, 8, 6, 5, 2, 8]",5,5,0,0,20,FR_VB,0,Accuracy-Based Reward,Middle-Value
1408,2781,d01qmofrd,24,13,0,0.4217,experiment_FR,-4,58,5.8,0.4,27,31,4,1,"[5, 4, 4, 8, 1, 5]","[6, 6, 2, 4, 8, 5]",4,5,-1,1,21,FR_VB,1,Accuracy-Based Reward,Middle-Value
1409,2782,d01qmofrd,25,13,0,0.4407,experiment_FR,4,56,5.8,0.4,30,26,4,0,"[2, 8, 2, 7, 4, 7]","[1, 6, 3, 6, 8, 2]",4,5,-1,1,22,FR_VB,1,Accuracy-Based Reward,Middle-Value
1410,2783,d01qmofrd,26,13,1,0.4747,experiment_FR,10,58,5.8,0.4,34,24,10,1,"[6, 6, 2, 8, 6, 6]","[6, 5, 1, 2, 4, 6]",3,5,-2,2,23,FR_VB,2,Accuracy-Based Reward,Middle-Value
1411,2784,d01qmofrd,27,13,0,0.4182,experiment_FR,4,52,5.8,0.4,28,24,4,0,"[4, 6, 8, 6, 1, 3]","[8, 4, 1, 5, 5, 1]",5,4,1,1,24,FR_VB,1,Accuracy-Based Reward,Middle-Value
1412,2785,d01qmofrd,28,13,1,0.4732,experiment_FR,8,50,5.8,0.4,29,21,8,1,"[3, 1, 7, 8, 5, 5]","[3, 8, 6, 1, 2, 1]",5,5,0,0,25,FR_VB,0,Accuracy-Based Reward,Middle-Value
1413,2786,d01qmofrd,29,13,1,0.7088,experiment_FR,4,66,5.8,0.4,35,31,4,1,"[5, 6, 8, 6, 3, 7]","[8, 1, 8, 6, 6, 2]",5,4,1,1,26,FR_VB,1,Accuracy-Based Reward,High-Value
1414,2787,d01qmofrd,30,13,0,0.951,experiment_FR,-1,59,5.8,0.4,29,30,1,1,"[8, 2, 3, 6, 2, 8]","[6, 5, 3, 8, 1, 7]",4,6,-2,2,27,FR_VB,2,Accuracy-Based Reward,Middle-Value
1415,2788,d01qmofrd,31,13,0,0.4693,experiment_FR,1,53,5.8,0.4,27,26,1,0,"[3, 7, 3, 3, 8, 3]","[7, 6, 1, 5, 6, 1]",3,4,-1,1,28,FR_VB,1,Accuracy-Based Reward,Middle-Value
1416,2789,d01qmofrd,32,13,1,0.5406,experiment_FR,3,57,5.8,0.4,30,27,3,1,"[8, 5, 7, 1, 4, 5]","[4, 2, 2, 8, 4, 7]",5,4,1,1,29,FR_VB,1,Accuracy-Based Reward,Middle-Value
1417,2790,d01qmofrd,33,13,1,0.7755,experiment_FR,9,37,5.8,0.4,23,14,9,1,"[1, 8, 8, 1, 4, 1]","[1, 1, 2, 3, 6, 1]",3,4,-1,1,30,FR_VB,1,Accuracy-Based Reward,Low-Value
1418,2791,d01qmofrd,34,13,1,0.8254,experiment_FR,1,49,5.8,0.4,25,24,1,1,"[5, 2, 7, 6, 4, 1]","[4, 1, 2, 5, 7, 5]",6,5,1,1,31,FR_VB,1,Accuracy-Based Reward,Middle-Value
1419,2792,d01qmofrd,35,13,0,0.4704,experiment_FR,-6,48,5.8,0.4,21,27,6,1,"[2, 6, 1, 7, 1, 4]","[2, 8, 2, 3, 7, 5]",5,5,0,0,32,FR_VB,0,Accuracy-Based Reward,Low-Value
1420,2793,d01qmofrd,36,13,1,0.5102,experiment_FR,8,50,5.8,0.4,29,21,8,1,"[5, 1, 5, 3, 8, 7]","[3, 2, 3, 8, 4, 1]",5,5,0,0,33,FR_VB,0,Accuracy-Based Reward,Middle-Value
1421,2794,d01qmofrd,37,13,0,0.4579,experiment_FR,-2,64,5.8,0.4,31,33,2,1,"[1, 4, 4, 8, 8, 6]","[8, 6, 3, 4, 5, 7]",4,6,-2,2,34,FR_VB,2,Accuracy-Based Reward,High-Value
1422,2795,d01qmofrd,38,13,1,0.4885,experiment_FR,11,59,5.8,0.4,35,24,11,1,"[8, 8, 8, 3, 3, 5]","[1, 5, 3, 5, 2, 8]",3,5,-2,2,35,FR_VB,2,Accuracy-Based Reward,Middle-Value
1423,2796,d01qmofrd,39,13,1,0.7123,experiment_FR,4,64,5.8,0.4,34,30,4,1,"[6, 5, 4, 3, 8, 8]","[8, 2, 5, 1, 7, 7]",5,5,0,0,36,FR_VB,0,Accuracy-Based Reward,High-Value
1424,2797,d01qmofrd,40,13,1,0.5063,experiment_FR,9,63,5.8,0.4,36,27,9,1,"[2, 8, 8, 6, 7, 5]","[7, 8, 2, 6, 2, 2]",5,4,1,1,37,FR_VB,1,Accuracy-Based Reward,High-Value
1425,2798,d01qmofrd,41,13,1,0.9302,experiment_FR,7,55,5.8,0.4,31,24,7,1,"[3, 8, 4, 6, 3, 7]","[4, 3, 8, 3, 4, 2]",5,4,1,1,38,FR_VB,1,Accuracy-Based Reward,Middle-Value
1426,2799,d01qmofrd,42,13,1,0.6723,experiment_FR,13,49,5.8,0.4,31,18,13,1,"[8, 4, 2, 8, 7, 2]","[1, 3, 8, 1, 1, 4]",4,4,0,0,39,FR_VB,0,Accuracy-Based Reward,Middle-Value
1427,2800,d01qmofrd,44,13,0,0.9505,experiment_FR,-5,43,5.8,0.4,19,24,5,1,"[4, 7, 1, 4, 2, 1]","[5, 8, 4, 2, 4, 1]",4,5,-1,1,40,FR_VB,1,Accuracy-Based Reward,Low-Value
1428,2801,d01qmofrd,45,13,1,0.5774,experiment_FR,6,44,5.8,0.4,25,19,6,1,"[6, 7, 5, 4, 1, 2]","[5, 1, 4, 3, 1, 5]",6,4,2,2,41,FR_VB,2,Accuracy-Based Reward,Low-Value
1429,2802,d01qmofrd,46,13,0,0.599,experiment_FR,-9,37,5.8,0.4,14,23,9,1,"[4, 1, 4, 2, 2, 1]","[3, 3, 8, 4, 2, 3]",3,4,-1,1,42,FR_VB,1,Accuracy-Based Reward,Low-Value
1430,2803,d01qmofrd,47,13,1,0.7341,experiment_FR,0,58,5.8,0.4,29,29,0,1,"[3, 4, 1, 8, 7, 6]","[1, 4, 6, 7, 7, 4]",6,4,2,2,43,FR_VB,2,Accuracy-Based Reward,Middle-Value
1431,2804,d01qmofrd,49,13,0,0.8536,experiment_FR,-6,54,5.8,0.4,24,30,6,1,"[3, 4, 1, 2, 7, 7]","[7, 7, 5, 2, 8, 1]",5,5,0,0,44,FR_VB,0,Accuracy-Based Reward,Middle-Value
1432,2805,d01qmofrd,51,13,0,0.6633,experiment_FR,3,61,5.8,0.4,32,29,3,0,"[1, 6, 4, 5, 8, 8]","[8, 7, 3, 2, 8, 1]",5,5,0,0,45,FR_VB,0,Accuracy-Based Reward,High-Value
1433,2806,d01qmofrd,52,13,1,0.8317,experiment_FR,10,52,5.8,0.4,31,21,10,1,"[8, 4, 7, 5, 2, 5]","[1, 1, 6, 2, 7, 4]",5,5,0,0,46,FR_VB,0,Accuracy-Based Reward,Middle-Value
1434,2807,d01qmofrd,53,13,1,0.777,experiment_FR,5,45,5.8,0.4,25,20,5,1,"[1, 3, 5, 4, 4, 8]","[1, 6, 2, 1, 5, 5]",5,4,1,1,47,FR_VB,1,Accuracy-Based Reward,Low-Value
1435,2808,d01qmofrd,54,13,1,0.5451,experiment_FR,11,57,5.8,0.4,34,23,11,1,"[6, 8, 4, 4, 8, 4]","[3, 6, 3, 3, 5, 3]",3,3,0,0,48,FR_VB,0,Accuracy-Based Reward,Middle-Value
1436,2809,d01qmofrd,55,13,0,1.0023,experiment_FR,-5,43,5.8,0.4,19,24,5,1,"[4, 1, 5, 1, 2, 6]","[4, 2, 5, 3, 6, 4]",5,5,0,0,49,FR_VB,0,Accuracy-Based Reward,Low-Value
1437,2810,d01qmofrd,56,13,0,0.8299,experiment_FR,1,73,5.8,0.4,37,36,1,0,"[8, 5, 3, 6, 8, 7]","[2, 7, 4, 7, 8, 8]",5,4,1,1,50,FR_VB,1,Accuracy-Based Reward,High-Value
1438,2811,d01qmofrd,57,13,0,0.6177,experiment_FR,-4,64,5.8,0.4,30,34,4,1,"[5, 8, 1, 3, 8, 5]","[8, 7, 8, 3, 7, 1]",4,4,0,0,51,FR_VB,0,Accuracy-Based Reward,High-Value
1439,2812,d01qmofrd,58,13,1,0.7034,experiment_FR,5,55,5.8,0.4,30,25,5,1,"[1, 5, 4, 6, 8, 6]","[4, 2, 6, 2, 3, 8]",5,5,0,0,52,FR_VB,0,Accuracy-Based Reward,Middle-Value
1440,2813,d01qmofrd,59,13,0,0.4437,experiment_FR,-6,54,5.8,0.4,24,30,6,1,"[3, 5, 1, 6, 7, 2]","[7, 3, 7, 1, 5, 7]",6,4,2,2,53,FR_VB,2,Accuracy-Based Reward,Middle-Value
1441,2814,d01qmofrd,60,13,0,0.5805,experiment_FR,3,61,5.8,0.4,32,29,3,0,"[5, 2, 7, 7, 4, 7]","[3, 2, 1, 7, 8, 8]",4,5,-1,1,54,FR_VB,1,Accuracy-Based Reward,High-Value
1442,2815,d01qmofrd,61,13,0,0.8937,experiment_FR,4,60,5.8,0.4,32,28,4,0,"[2, 8, 5, 6, 5, 6]","[3, 6, 8, 3, 4, 4]",4,4,0,0,55,FR_VB,0,Accuracy-Based Reward,High-Value
1443,2816,d01qmofrd,62,13,1,0.6312,experiment_FR,1,51,5.8,0.4,26,25,1,1,"[8, 5, 1, 4, 6, 2]","[7, 3, 2, 4, 5, 4]",6,5,1,1,56,FR_VB,1,Accuracy-Based Reward,Middle-Value
1444,2817,d01qmofrd,63,13,0,0.2946,experiment_FR,6,60,5.8,0.4,33,27,6,0,"[8, 5, 6, 2, 4, 8]","[5, 5, 6, 7, 2, 2]",5,4,1,1,57,FR_VB,1,Accuracy-Based Reward,High-Value
1445,2818,d01qmofrd,64,13,0,0.8203,experiment_FR,-1,61,5.8,0.4,30,31,1,1,"[4, 8, 3, 7, 1, 7]","[6, 7, 2, 4, 8, 4]",5,5,0,0,58,FR_VB,0,Accuracy-Based Reward,High-Value
1446,2819,d01qmofrd,65,13,0,0.6556,experiment_FR,-6,58,5.8,0.4,26,32,6,1,"[7, 1, 8, 3, 2, 5]","[7, 7, 4, 5, 3, 6]",6,5,1,1,59,FR_VB,1,Accuracy-Based Reward,Middle-Value
1447,2820,d01qmofrd,66,13,1,0.3982,experiment_FR,-7,65,5.8,0.4,29,36,7,0,"[7, 3, 5, 3, 3, 8]","[5, 6, 6, 8, 8, 3]",4,4,0,0,60,FR_VB,0,Accuracy-Based Reward,High-Value
1448,2821,d01qmofrd,68,13,0,0.4761,experiment_FR,2,60,5.8,0.4,31,29,2,0,"[3, 3, 7, 4, 6, 8]","[8, 6, 3, 3, 4, 5]",5,5,0,0,61,FR_VB,0,Accuracy-Based Reward,High-Value
1449,2822,d01qmofrd,69,13,0,0.6025,experiment_FR,-9,43,5.8,0.4,17,26,9,1,"[3, 1, 7, 3, 2, 1]","[1, 8, 4, 6, 6, 1]",4,4,0,0,62,FR_VB,0,Accuracy-Based Reward,Low-Value
1450,2823,d01qmofrd,70,13,0,0.4779,experiment_FR,-9,55,5.8,0.4,23,32,9,1,"[4, 8, 1, 6, 2, 2]","[2, 8, 7, 1, 6, 8]",5,5,0,0,63,FR_VB,0,Accuracy-Based Reward,Middle-Value
1451,2824,d01qmofrd,71,13,1,0.732,experiment_FR,2,38,5.8,0.4,20,18,2,1,"[1, 2, 8, 2, 1, 6]","[2, 3, 4, 2, 6, 1]",4,5,-1,1,64,FR_VB,1,Accuracy-Based Reward,Low-Value
1452,2825,d01qmofrd,72,13,0,0.5172,experiment_FR,-2,54,5.8,0.4,26,28,2,1,"[6, 8, 1, 3, 5, 3]","[7, 2, 8, 6, 4, 1]",5,6,-1,1,65,FR_VB,1,Accuracy-Based Reward,Middle-Value
1453,2826,d01qmofrd,73,13,0,0.4567,experiment_FR,-9,53,5.8,0.4,22,31,9,1,"[3, 4, 2, 5, 2, 6]","[8, 2, 8, 1, 5, 7]",5,5,0,0,66,FR_VB,0,Accuracy-Based Reward,Middle-Value
1454,2827,d01qmofrd,74,13,0,0.768,experiment_FR,-7,49,5.8,0.4,21,28,7,1,"[3, 1, 8, 3, 4, 2]","[5, 2, 1, 8, 8, 4]",5,5,0,0,67,FR_VB,0,Accuracy-Based Reward,Middle-Value
1455,2828,d01qmofrd,75,13,0,0.8423,experiment_FR,-8,50,5.8,0.4,21,29,8,1,"[8, 2, 1, 2, 6, 2]","[5, 5, 4, 3, 4, 8]",4,4,0,0,68,FR_VB,0,Accuracy-Based Reward,Middle-Value
1456,2829,d01qmofrd,76,13,0,0.6899,experiment_FR,5,43,5.8,0.4,24,19,5,0,"[5, 3, 5, 6, 3, 2]","[1, 3, 6, 6, 2, 1]",4,4,0,0,69,FR_VB,0,Accuracy-Based Reward,Low-Value
1457,2830,d01qmofrd,77,13,1,0.8187,experiment_FR,10,60,5.8,0.4,35,25,10,1,"[4, 8, 6, 7, 2, 8]","[2, 7, 3, 7, 3, 3]",5,3,2,2,70,FR_VB,2,Accuracy-Based Reward,High-Value
1458,2831,d01qmofrd,78,13,1,0.6688,experiment_FR,4,64,5.8,0.4,34,30,4,1,"[4, 7, 7, 5, 3, 8]","[5, 1, 5, 7, 4, 8]",5,5,0,0,71,FR_VB,0,Accuracy-Based Reward,High-Value
1459,2832,d01qmofrd,79,13,0,0.5173,experiment_FR,-14,42,5.8,0.4,14,28,14,1,"[3, 2, 5, 1, 2, 1]","[1, 2, 7, 4, 7, 7]",4,4,0,0,72,FR_VB,0,Accuracy-Based Reward,Low-Value
1460,2833,d01qmofrd,81,13,1,1.0103,experiment_FR,5,39,5.8,0.4,22,17,5,1,"[1, 2, 8, 2, 4, 5]","[1, 7, 1, 1, 2, 5]",5,4,1,1,73,FR_VB,1,Accuracy-Based Reward,Low-Value
1461,2834,d01qmofrd,82,13,1,0.6686,experiment_FR,2,62,5.8,0.4,32,30,2,1,"[1, 2, 8, 8, 5, 8]","[5, 7, 3, 3, 4, 8]",4,5,-1,1,74,FR_VB,1,Accuracy-Based Reward,High-Value
1462,2835,d01qmofrd,83,13,0,0.4573,experiment_FR,-11,51,5.8,0.4,20,31,11,1,"[1, 3, 4, 3, 3, 6]","[7, 8, 7, 2, 3, 4]",4,5,-1,1,75,FR_VB,1,Accuracy-Based Reward,Middle-Value
1463,2836,d01qmofrd,84,13,0,0.4995,experiment_FR,-3,47,5.8,0.4,22,25,3,1,"[5, 2, 3, 2, 6, 4]","[2, 6, 5, 1, 8, 3]",5,6,-1,1,76,FR_VB,1,Accuracy-Based Reward,Low-Value
1464,2837,d01qmofrd,85,13,0,0.4732,experiment_FR,-8,54,5.8,0.4,23,31,8,1,"[8, 6, 5, 2, 1, 1]","[3, 7, 6, 4, 4, 7]",5,4,1,1,77,FR_VB,1,Accuracy-Based Reward,Middle-Value
1465,2838,d01qmofrd,86,13,0,0.5068,experiment_FR,-5,53,5.8,0.4,24,29,5,1,"[2, 3, 5, 4, 7, 3]","[2, 7, 4, 3, 5, 8]",5,6,-1,1,78,FR_VB,1,Accuracy-Based Reward,Middle-Value
1466,2839,d01qmofrd,87,13,0,0.7236,experiment_FR,-4,62,5.8,0.4,29,33,4,1,"[6, 6, 5, 1, 7, 4]","[6, 6, 3, 7, 8, 3]",5,4,1,1,79,FR_VB,1,Accuracy-Based Reward,High-Value
1467,2840,d01qmofrd,88,13,1,1.0115,experiment_FR,5,55,5.8,0.4,30,25,5,1,"[1, 2, 7, 7, 6, 7]","[4, 1, 7, 2, 5, 6]",4,6,-2,2,80,FR_VB,2,Accuracy-Based Reward,Middle-Value
1468,2841,d01qmofrd,89,13,0,0.5007,experiment_FR,-4,58,5.8,0.4,27,31,4,1,"[4, 6, 3, 5, 3, 6]","[2, 4, 8, 7, 6, 4]",4,5,-1,1,81,FR_VB,1,Accuracy-Based Reward,Middle-Value
1469,2842,d01qmofrd,90,13,0,0.5792,experiment_FR,-5,63,5.8,0.4,29,34,5,1,"[6, 5, 1, 6, 7, 4]","[6, 7, 8, 4, 6, 3]",5,5,0,0,82,FR_VB,0,Accuracy-Based Reward,High-Value
1470,2843,d01qmofrd,91,13,0,0.6459,experiment_FR,-8,50,5.8,0.4,21,29,8,1,"[4, 1, 3, 3, 7, 3]","[4, 5, 6, 1, 8, 5]",4,5,-1,1,83,FR_VB,1,Accuracy-Based Reward,Middle-Value
1471,2844,d01qmofrd,92,13,0,0.5697,experiment_FR,6,44,5.8,0.4,25,19,6,0,"[1, 7, 7, 2, 7, 1]","[1, 3, 4, 8, 2, 1]",3,5,-2,2,84,FR_VB,2,Accuracy-Based Reward,Low-Value
1472,2845,d01qmofrd,93,13,0,0.4495,experiment_FR,-11,59,5.8,0.4,24,35,11,1,"[3, 6, 8, 2, 3, 2]","[2, 7, 6, 7, 8, 5]",4,5,-1,1,85,FR_VB,1,Accuracy-Based Reward,Middle-Value
1473,2846,d01qmofrd,94,13,0,0.4963,experiment_FR,-4,54,5.8,0.4,25,29,4,1,"[5, 2, 6, 1, 8, 3]","[1, 4, 5, 6, 7, 6]",6,5,1,1,86,FR_VB,1,Accuracy-Based Reward,Middle-Value
1474,2847,d01qmofrd,95,13,1,0.6572,experiment_FR,26,62,5.8,0.4,44,18,26,1,"[7, 7, 7, 8, 8, 7]","[1, 6, 1, 5, 2, 3]",2,5,-3,3,87,FR_VB,3,Accuracy-Based Reward,High-Value
1475,2848,d01qmofrd,96,13,0,0.4044,experiment_FR,-14,44,5.8,0.4,15,29,14,1,"[2, 6, 3, 2, 1, 1]","[7, 3, 6, 2, 7, 4]",4,5,-1,1,88,FR_VB,1,Accuracy-Based Reward,Low-Value
1476,2849,d01qmofrd,97,13,1,0.6307,experiment_FR,11,57,5.8,0.4,34,23,11,1,"[7, 3, 2, 8, 7, 7]","[2, 4, 7, 7, 1, 2]",4,4,0,0,89,FR_VB,0,Accuracy-Based Reward,Middle-Value
1477,2850,d01qmofrd,98,13,0,0.4536,experiment_FR,0,52,5.8,0.4,26,26,0,1,"[4, 3, 5, 4, 8, 2]","[2, 8, 8, 6, 1, 1]",5,4,1,1,90,FR_VB,1,Accuracy-Based Reward,Middle-Value
1478,2851,d01qmofrd,99,13,1,0.4336,experiment_FR,5,59,5.8,0.4,32,27,5,1,"[8, 8, 2, 3, 8, 3]","[7, 2, 8, 4, 3, 3]",3,5,-2,2,91,FR_VB,2,Accuracy-Based Reward,Middle-Value
1479,2852,d01qmofrd,100,13,0,0.4438,experiment_FR,-8,52,5.8,0.4,22,30,8,1,"[7, 5, 3, 1, 4, 2]","[4, 1, 6, 4, 7, 8]",6,5,1,1,92,FR_VB,1,Accuracy-Based Reward,Middle-Value
1480,2853,d01qmofrd,101,13,1,0.3828,experiment_FR,-5,61,5.8,0.4,28,33,5,0,"[2, 4, 7, 4, 3, 8]","[6, 7, 6, 4, 5, 5]",5,4,1,1,93,FR_VB,1,Accuracy-Based Reward,High-Value
1481,2854,d01qmofrd,102,13,0,0.3504,experiment_FR,-11,51,5.8,0.4,20,31,11,1,"[1, 4, 2, 1, 4, 8]","[4, 6, 3, 8, 6, 4]",4,4,0,0,94,FR_VB,0,Accuracy-Based Reward,Middle-Value
1482,2855,d01qmofrd,104,13,0,0.5112,experiment_FR,9,51,5.8,0.4,30,21,9,0,"[7, 5, 6, 3, 6, 3]","[8, 1, 3, 2, 5, 2]",4,5,-1,1,95,FR_VB,1,Accuracy-Based Reward,Middle-Value
1483,2856,d01qmofrd,105,13,1,0.8755,experiment_FR,-4,48,5.8,0.4,22,26,4,0,"[1, 6, 1, 5, 8, 1]","[2, 4, 5, 4, 5, 6]",4,4,0,0,96,FR_VB,0,Accuracy-Based Reward,Low-Value
1484,2857,d01qmofrd,106,13,0,0.2869,experiment_FR,2,40,5.8,0.4,21,19,2,0,"[7, 4, 2, 1, 4, 3]","[4, 1, 6, 3, 2, 3]",5,5,0,0,97,FR_VB,0,Accuracy-Based Reward,Low-Value
1485,2858,d01qmofrd,107,13,0,0.5013,experiment_FR,-10,48,5.8,0.4,19,29,10,1,"[2, 1, 5, 4, 5, 2]","[3, 7, 6, 5, 2, 6]",4,5,-1,1,98,FR_VB,1,Accuracy-Based Reward,Low-Value
1486,2859,d01qmofrd,108,13,1,0.677,experiment_FR,7,37,5.8,0.4,22,15,7,1,"[2, 1, 8, 6, 1, 4]","[1, 2, 1, 7, 1, 3]",5,4,1,1,99,FR_VB,1,Accuracy-Based Reward,Low-Value
1487,2860,d01qmofrd,109,13,0,0.3872,experiment_FR,-3,53,5.8,0.4,25,28,3,1,"[6, 6, 6, 3, 2, 2]","[7, 8, 4, 2, 5, 2]",3,5,-2,2,100,FR_VB,2,Accuracy-Based Reward,Middle-Value
1488,2861,d01qmofrd,110,13,1,0.5624,experiment_FR,7,37,5.8,0.4,22,15,7,1,"[3, 2, 1, 7, 3, 6]","[1, 1, 5, 3, 2, 3]",5,4,1,1,101,FR_VB,1,Accuracy-Based Reward,Low-Value
1489,2862,d01qmofrd,111,13,0,0.4706,experiment_FR,-8,52,5.8,0.4,22,30,8,1,"[6, 4, 1, 4, 6, 1]","[3, 8, 4, 3, 4, 8]",3,3,0,0,102,FR_VB,0,Accuracy-Based Reward,Middle-Value
1490,2863,d01qmofrd,112,13,1,0.5021,experiment_FR,13,43,5.8,0.4,28,15,13,1,"[3, 6, 3, 4, 4, 8]","[5, 3, 1, 1, 2, 3]",4,4,0,0,103,FR_VB,0,Accuracy-Based Reward,Low-Value
1491,2864,d01qmofrd,113,13,0,0.4233,experiment_FR,-3,61,5.8,0.4,29,32,3,1,"[6, 3, 7, 6, 4, 3]","[1, 8, 8, 7, 5, 3]",4,5,-1,1,104,FR_VB,1,Accuracy-Based Reward,High-Value
1492,2865,d01qmofrd,114,13,0,0.4098,experiment_FR,-12,60,5.8,0.4,24,36,12,1,"[1, 3, 1, 3, 8, 8]","[7, 5, 8, 8, 3, 5]",3,4,-1,1,105,FR_VB,1,Accuracy-Based Reward,High-Value
1493,2866,d01qmofrd,115,13,1,0.5508,experiment_FR,17,45,5.8,0.4,31,14,17,1,"[6, 5, 1, 6, 7, 6]","[1, 5, 3, 1, 1, 3]",4,3,1,1,106,FR_VB,1,Accuracy-Based Reward,Low-Value
1494,2867,d01qmofrd,116,13,1,0.6078,experiment_FR,5,59,5.8,0.4,32,27,5,1,"[2, 8, 4, 7, 3, 8]","[5, 1, 6, 8, 5, 2]",5,5,0,0,107,FR_VB,0,Accuracy-Based Reward,Middle-Value
1495,2868,d01qmofrd,117,13,0,0.458,experiment_FR,-4,56,5.8,0.4,26,30,4,1,"[3, 5, 6, 7, 2, 3]","[5, 6, 8, 7, 1, 3]",5,6,-1,1,108,FR_VB,1,Accuracy-Based Reward,Middle-Value
1496,2869,d01qmofrd,118,13,0,0.757,experiment_FR,-4,66,5.8,0.4,31,35,4,1,"[8, 3, 4, 1, 7, 8]","[8, 7, 7, 3, 2, 8]",5,4,1,1,109,FR_VB,1,Accuracy-Based Reward,High-Value
1497,2870,d01qmofrd,119,13,1,0.7126,experiment_FR,1,59,5.8,0.4,30,29,1,1,"[3, 8, 8, 3, 4, 4]","[7, 5, 2, 8, 2, 5]",3,4,-1,1,110,FR_VB,1,Accuracy-Based Reward,Middle-Value
1498,2871,d01qmofrd,120,13,0,0.6312,experiment_FR,-1,53,5.8,0.4,26,27,1,1,"[3, 2, 8, 3, 3, 7]","[8, 6, 6, 2, 4, 1]",4,5,-1,1,111,FR_VB,1,Accuracy-Based Reward,Middle-Value
1499,2872,d01qmofrd,121,13,0,0.6254,experiment_FR,-1,47,5.8,0.4,23,24,1,1,"[1, 6, 5, 6, 3, 2]","[2, 4, 1, 4, 8, 5]",5,5,0,0,112,FR_VB,0,Accuracy-Based Reward,Low-Value
1500,2873,d01qmofrd,122,13,1,0.5735,experiment_FR,4,56,5.8,0.4,30,26,4,1,"[6, 4, 7, 7, 5, 1]","[4, 2, 3, 7, 4, 6]",5,5,0,0,113,FR_VB,0,Accuracy-Based Reward,Middle-Value
1501,2874,d01qmofrd,123,13,1,0.5657,experiment_FR,0,64,5.8,0.4,32,32,0,0,"[7, 1, 7, 8, 8, 1]","[6, 8, 5, 3, 2, 8]",3,5,-2,2,114,FR_VB,2,Accuracy-Based Reward,High-Value
1502,2875,d01qmofrd,124,13,1,0.5191,experiment_FR,3,65,5.8,0.4,34,31,3,1,"[8, 2, 7, 1, 8, 8]","[8, 4, 2, 8, 6, 3]",4,5,-1,1,115,FR_VB,1,Accuracy-Based Reward,High-Value
1503,2876,d01qmofrd,126,13,1,0.6189,experiment_FR,4,54,5.8,0.4,29,25,4,1,"[3, 5, 6, 5, 4, 6]","[3, 7, 2, 4, 7, 2]",4,4,0,0,116,FR_VB,0,Accuracy-Based Reward,Middle-Value
1504,2877,d01qmofrd,127,13,1,0.5258,experiment_FR,17,61,5.8,0.4,39,22,17,1,"[5, 8, 8, 8, 3, 7]","[3, 5, 5, 4, 1, 4]",4,4,0,0,117,FR_VB,0,Accuracy-Based Reward,High-Value
1505,2878,d01qmofrd,128,13,0,0.453,experiment_FR,-13,59,5.8,0.4,23,36,13,1,"[5, 3, 2, 4, 2, 7]","[2, 7, 4, 8, 8, 7]",5,4,1,1,118,FR_VB,1,Accuracy-Based Reward,Middle-Value
1506,2879,d01qmofrd,129,13,1,0.6959,experiment_FR,10,44,5.8,0.4,27,17,10,1,"[6, 4, 2, 4, 4, 7]","[1, 2, 4, 1, 6, 3]",4,5,-1,1,119,FR_VB,1,Accuracy-Based Reward,Low-Value
