,X,subject,trialN,subj_idx,response,rt,task,relativeValue,totalValue,memSlideScore,memChoiceScore,Left_sum,Right_sum,absRelativeValue,accuracy,arr_L,arr_R,N_L,N_R,L-R,|L-R|,trial_total,order,nValDiff,task2,value_type
24,24,hwrblsy3h,30,27,1,0.5842,experiment_FR,13,57,4,0.7,35,22,13,1,"[7, 7, 7, 8, 2, 4]","[1, 7, 2, 2, 2, 8]",4,4,0,0,25,FR_VB,0,Accuracy-Based Reward,Middle-Value
25,25,hwrblsy3h,31,27,0,0.5996,experiment_FR,-8,46,4,0.7,19,27,8,1,"[1, 3, 3, 6, 2, 4]","[6, 2, 4, 5, 8, 2]",5,5,0,0,26,FR_VB,0,Accuracy-Based Reward,Low-Value
26,26,hwrblsy3h,32,27,0,0.9628,experiment_FR,1,51,4,0.7,26,25,1,0,"[2, 6, 4, 2, 6, 6]","[6, 1, 7, 2, 8, 1]",3,5,-2,2,27,FR_VB,2,Accuracy-Based Reward,Middle-Value
27,27,hwrblsy3h,33,27,1,0.6172,experiment_FR,13,57,4,0.7,35,22,13,1,"[6, 7, 7, 8, 3, 4]","[2, 1, 4, 6, 6, 3]",5,5,0,0,28,FR_VB,0,Accuracy-Based Reward,Middle-Value
28,28,hwrblsy3h,34,27,1,0.7799,experiment_FR,-5,31,4,0.7,13,18,5,0,"[1, 1, 1, 2, 2, 6]","[2, 3, 3, 3, 3, 4]",3,3,0,0,29,FR_VB,0,Accuracy-Based Reward,Low-Value
29,29,hwrblsy3h,36,27,1,0.4872,experiment_FR,0,66,4,0.7,33,33,0,1,"[6, 1, 5, 8, 8, 5]","[4, 7, 3, 6, 7, 6]",4,4,0,0,30,FR_VB,0,Accuracy-Based Reward,High-Value
30,30,hwrblsy3h,37,27,1,0.6777,experiment_FR,17,55,4,0.7,36,19,17,1,"[8, 7, 8, 8, 1, 4]","[3, 6, 2, 1, 5, 2]",4,5,-1,1,31,FR_VB,1,Accuracy-Based Reward,Middle-Value
31,31,hwrblsy3h,38,27,0,0.8818,experiment_FR,-3,55,4,0.7,26,29,3,1,"[8, 2, 3, 3, 8, 2]","[4, 7, 8, 1, 4, 5]",3,5,-2,2,32,FR_VB,2,Accuracy-Based Reward,Middle-Value
32,32,hwrblsy3h,39,27,0,0.8623,experiment_FR,-6,56,4,0.7,25,31,6,1,"[5, 3, 2, 4, 4, 7]","[6, 7, 7, 4, 6, 1]",5,4,1,1,33,FR_VB,1,Accuracy-Based Reward,Middle-Value
33,33,hwrblsy3h,40,27,0,0.563,experiment_FR,-16,50,4,0.7,17,33,16,1,"[5, 1, 1, 4, 5, 1]","[4, 8, 8, 8, 3, 2]",3,4,-1,1,34,FR_VB,1,Accuracy-Based Reward,Middle-Value
