,subj_idx,response,rt,dif,Info,Third,skew
98,1,0,1.2559,2,EV,low,-0.09840321517929596
99,1,1,1.7759,4,EV,low,-0.09840321517929596
100,1,0,1.2203,1,EV,low,-0.09840321517929596
101,1,1,1.1508,1,EV,low,-0.09840321517929596
102,1,1,1.2351,2,EV,low,-0.09840321517929596
103,1,1,1.5403,4,EV,low,-0.09840321517929596
104,1,1,1.2338,4,EV,low,-0.09840321517929596
105,1,1,1.0805,2,MV,low,-0.09840321517929596
106,1,1,1.3832,2,MV,mid,-0.09840321517929596
107,1,1,0.95507,1,MV,low,-0.09840321517929596
108,1,1,2.271,1,MV,mid,-0.09840321517929596
109,1,0,1.1354,3,MV,high,-0.09840321517929596
110,1,1,1.1321,2,MV,mid,-0.09840321517929596
111,1,1,0.74509,3,MV,mid,-0.09840321517929596
112,1,0,1.6379,4,MV,high,-0.09840321517929596
113,1,1,2.111,1,MV,high,-0.09840321517929596
114,1,1,1.6214,1,MV,high,-0.09840321517929596
115,1,1,1.6473,1,MV,low,-0.09840321517929596
116,1,1,1.1917,3,MV,low,-0.09840321517929596
117,1,1,1.1877,1,MV,low,-0.09840321517929596
118,1,1,0.83307,2,EV,high,-0.09840321517929596
119,1,1,0.64979,3,EV,high,-0.09840321517929596
120,1,0,0.65913,3,EV,high,-0.09840321517929596
121,1,1,1.2354,3,EV,high,-0.09840321517929596
122,1,1,0.73318,4,EV,high,-0.09840321517929596
123,1,1,1.8099,1,EV,high,-0.09840321517929596
124,1,1,0.93216,5,EV,high,-0.09840321517929596
125,1,1,0.8579,3,EV,high,-0.09840321517929596
126,1,1,0.93074,4,EV,high,-0.09840321517929596
127,1,1,0.92783,3,EV,high,-0.09840321517929596
128,1,1,1.0771,4,EV,high,-0.09840321517929596
129,1,0,1.8216,3,EV,high,-0.09840321517929596
130,1,1,0.67094,4,EV,high,-0.09840321517929596
131,1,1,1.5998,2,EV,high,-0.09840321517929596
132,1,0,1.234,2,EV,high,-0.09840321517929596
133,1,1,1.6164,4,MV,mid,-0.09840321517929596
134,1,1,0.6818,4,MV,high,-0.09840321517929596
